trip_id,start_time,end_time,headway_secs,exact_times
A03_1,04:49:00,23:34:00,900,
A03_2,05:01:00,23:46:00,900,
A05_1,04:49:00,23:36:00,1320,
A05_2,04:59:00,23:46:00,1320,
A06_1_1,04:32:00,05:47:00,900,
A06_1_1,05:51:00,09:17:00,540,
A06_1_1,09:19:00,16:44:00,900,
A06_1_1,16:48:00,21:08:00,540,
A06_1_1,21:14:00,23:29:00,900,
A06_2,04:58:00,06:13:00,900,
A06_2,06:17:00,09:34:00,540,
A06_2,09:40:00,17:10:00,900,
A06_2,17:14:00,21:34:00,540,
A06_2,21:40:00,23:55:00,900,
A07_1_1,04:40:00,23:21:00,1140,
A07_2,04:59:00,23:21:00,1140,
A07_2_1,23:21:00,23:46:00,1260,
A08_1,05:00:00,22:00:00,900,
A08_2,05:00:00,22:00:00,900,
A09_1,04:21:00,23:07:00,1500,
A09_2,05:00:00,23:46:00,1500,
A10_1,05:00:00,22:00:00,900,
A10_2,05:00:00,22:00:00,900,
A13_1,04:45:00,23:30:00,900,
A13_2,04:59:00,23:29:00,900,
A13_2_1,23:29:00,23:49:00,1020,
A15_1,04:45:00,23:30:00,900,
A15_2_1,04:59:00,23:44:00,900,
A16_1_1,04:45:00,22:45:00,900,
A16_1_1,23:05:00,23:51:00,1380,1
A16_2,05:03:00,23:03:00,900,
A16_2,23:23:00,24:09:00,1380,1
A17_1_0,04:45:00,22:25:00,1200,
A17_1_0,23:07:00,23:51:00,1320,1
A17_1_1,04:45:00,22:21:00,720,
A17_1_1,22:24:00,23:09:00,900,
A17_2_0,05:03:00,23:03:00,1200,
A17_2_0,23:25:00,24:09:00,1320,1
A17_2_1,05:03:00,22:39:00,720,
A17_2_1,22:42:00,23:27:00,900,
A18_1,04:26:00,07:06:00,1200,
A18_1,07:07:00,09:20:00,840,
A18_1,09:26:00,16:26:00,1200,
A18_1,16:30:00,21:00:00,840,
A18_1,21:06:00,23:26:00,1200,
A18_1_1,04:26:00,23:12:00,1200,
A18_2_1,05:00:00,23:46:00,1200,
A18_2_2,05:00:00,07:40:00,1200,
A18_2_2,07:44:00,09:54:00,840,
A18_2_2,10:00:00,17:00:00,1200,
A18_2_2,17:00:00,21:34:00,840,
A18_2_2,21:40:00,24:00:00,1200,
A19_1,04:06:00,22:56:00,600,
A19_1_1,04:06:00,21:06:00,600,
A19_1_1,21:11:00,22:26:00,900,
A19_1_1,22:34:00,23:08:00,1080,
A19_2,05:00:00,23:50:00,600,
A19_2_1,05:00:00,22:00:00,600,
A19_2_1,22:05:00,23:05:00,900,
A19_2_1,23:10:00,23:50:00,1200,
A20_1,04:10:00,22:56:00,900,
A20_1_1,04:06:00,22:56:00,1200,
A20_2,05:00:00,23:46:00,900,
A20_2_1,04:56:00,23:46:00,1200,
A21_1,04:21:00,15:41:00,1200,
A21_1,15:41:00,19:41:00,600,
A21_1,19:51:00,23:11:00,1200,
A21_1_1,04:21:00,23:07:00,1200,
A21_2,05:00:00,16:20:00,1200,
A21_2,16:20:00,20:30:00,600,
A21_2,20:40:00,24:00:00,1200,
A21_2_1,05:00:00,23:46:00,1200,
C98_route_1_0000001_53760,04:30:00,06:20:00,600,
C98_route_1_0000001_53760,06:19:00,07:49:00,540,
C98_route_1_0000001_53760,07:52:00,14:52:00,600,
C98_route_1_0000001_53760,14:44:00,15:08:00,720,
C98_route_1_0000001_53760,15:05:00,16:35:00,540,
C98_route_1_0000001_53760,16:36:00,18:16:00,600,
C98_route_1_0000001_53760,18:18:00,19:57:00,540,
C98_route_1_0000001_53760,19:58:00,20:58:00,600,
C98_route_1_1111110_60000,04:30:00,05:58:00,480,
C98_route_1_1111110_60000,05:57:00,07:07:00,420,
C98_route_1_1111110_60000,07:10:00,09:58:00,480,
C98_route_1_1111110_60000,10:00:00,12:48:00,480,
C98_route_1_1111110_60000,12:50:00,14:07:00,420,
C98_route_1_1111110_60000,14:08:00,15:28:00,480,
C98_route_1_1111110_60000,15:30:00,16:47:00,420,
