stop_name,stop_id,stop_lat,stop_lon
1 de Mayo,mxc_C98_STP_92,20.67468,-103.23072
16 de Septiembre,MM_C122_114,20.62255,-103.24706
16 de Septiembre,MM_T19C01_14,20.71238,-103.45513
18 de Marzo,MM_T13C1_100,20.61448,-103.28423
18 de Marzo,MT-L1_06,20.638203,-103.376945
20 de Enero,MM_T19C01_15,20.71184,-103.45215
21 de Marzo,MM_C23_68,20.7133,-103.30195
21 de Marzo,mxc_C23_STP_68,20.7133,-103.30195
25 de Mayo,ST_04_028,20.829933,-103.450195
25 de Mayo,ST_04_049,20.83027,-103.45044
5 De Mayo,MP-T-024,20.710436,-103.43947
5 de Mayo,MM_C128AV1_59,20.66292,-103.34432
5 de Mayo,MM_C12V1_08,20.55313,-103.44478
8 De Julio,MP-T-019,20.586727,-103.3826
A Chapala,MM_T13AC01_20,20.60596,-103.31569
A LAS MONTAÑAS,ST_01_034,20.678133,-103.41882
A La Base Aerea - Acueducto,MP-C-099,20.755905,-103.4418
A San José del Castillo,mxc_C98_STP_07,20.527,-103.25013
ALLENDE,ST_1B_021,20.728634,-103.541
AMERICAS,ST_03_005,20.676702,-103.3731
AMERICAS,ST_03_051,20.67454,-103.372925
ANTONIO CASO,ST_02_010,20.656261,-103.24765
ANTONIO CASO,ST_02_035,20.655827,-103.24741
AQUILES SERDAN,ST_03_019,20.677792,-103.32755
AQUILES SERDAN,ST_03_036,20.679045,-103.32642
ARGENTINA,ST_01_003,20.674837,-103.36114
AURELIO L. GALLARDO,ST_03_004,20.676628,-103.37643
AV. PATRIA,ST_01_014,20.67888,-103.42073
AV. PATRIA,ST_01_033,20.678883,-103.422226
AVIACION,ST_01_024,20.702953,-103.46039
AVIACION,ST_1B_001,20.702806,-103.46082
Abasolo,MM_C125V1_40,20.54983,-103.46946
Abasolo,MM_C128_136,20.54636,-103.44116
Acueducto,MP-T-025,20.722734,-103.42113
Acueducto,mxc_C98_STP_24,20.66424,-103.21935
Adolf Horn,MP-T-014,20.577204,-103.360695
Agrícola,MP-T-004,20.616802,-103.42905
Agua Azul,MM_011,20.657825,-103.35099
Agua Azul,MM_044,20.658386,-103.35076
Alameda,MM_016,20.680222,-103.339134
Alameda,MM_039,20.680227,-103.33917
Alamitos,ST_04_014,20.764395,-103.43907
Albaterra,ST_04_030,20.847982,-103.44554
Albaterra,ST_04_047,20.84803,-103.445816
Aldama,MM_A19_95,20.53255,-103.36778
Aldama,MM_A20_18,20.53242,-103.36763
Aldama,MM_C10_44,20.56921,-103.441
Aldama,MM_C122_108,20.65243,-103.23483
Aldama,MM_C125V1_138,20.54861,-103.47067
Alhambra,ST_04_052,20.808279,-103.45629
Allende,MM_A06_25,20.60523,-103.34102
Allende,MM_A06_42,20.60543,-103.34096
Alta Vista,MM_C43V3_104,20.74503,-103.39357
Amanilalpan,MM_C46V1_21,20.61742,-103.26908
Amaranto,ST_04_024,20.80761,-103.45605
Amaranto 1,ST_04_025,20.809715,-103.45544
Amatitan,MM_C07V1_08,20.69078,-103.26455
Amatitan,mxc_C07V1_STP_08,20.69078,-103.26455
Andrés Blancarte,MM_C07V1_10,20.69546,-103.27269
Andrés Blancarte,mxc_C07V1_STP_10,20.69546,-103.27269
Andrés Renteria,MM_C17_08,20.64352,-103.27566
Andrés Sandoval,MM_C27_99,20.70899,-103.287
Andrés Sandoval,mxc_C27_STP_99,20.70899,-103.287
Anillo Periférico Norte,MM_A05_13,20.72144,-103.31725
Anillo Periférico Norte,MM_A16_31,20.72156,-103.31773
Anillo Periférico Norte Manuel Gómez Morin,MM_C120_05,20.69785,-103.2754
Anillo Periférico Norte Manuel Gómez Morin,mxc_C98_STP_21,20.63514,-103.20956
Anillo Periférico Norte Manuel Gómez Morin,mxc_C98_STP_91,20.67687,-103.23326
Anillo Periférico Norte Manuel Gómez Morin,mxc_C98_STP_93,20.67137,-103.2266
Anillo Periférico Norte Manuel Gómez Morin,mxc_C98_STP_97,20.63513,-103.20993
Antigua Carretera a Chapala,MM_A08_1,20.5475,-103.32975
Antigua Carretera a Chapala,MM_A08_101,20.55418,-103.33171
Antigua Carretera a Chapala,MM_A08_102,20.55282,-103.33121
Antigua Carretera a Chapala,MM_A08_103,20.54778,-103.32998
Antigua Carretera a Chapala,MM_A08_106,20.54121,-103.32859
Antigua Carretera a Chapala,MM_A08_3,20.55087,-103.3306
Antigua Carretera a Chapala,MM_A08_4,20.55276,-103.33107
Antigua Carretera a Chapala,MM_A08_6,20.55476,-103.33162
Antigua Carretera a Chapala,MM_A08_7,20.55693,-103.33208
Antigua Carretera a Chapala,MM_A08_8,20.55807,-103.33217
Antigua Carretera a Chapala,MM_A09_17,20.57765,-103.33172
Antigua Carretera a Chapala,MM_A09_18,20.57904,-103.33141
Antigua Carretera a Chapala,MM_A09_19,20.57985,-103.33141
Antigua Carretera a Chapala,MM_A09_20,20.58106,-103.33158
Antigua Carretera a Chapala,MM_A09_21,20.58206,-103.33176
