trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
100,14067000100797000011712,32,06:52:25,06:52:25,,,,,,
100,14067000100797000031717,38,07:02:33,07:02:33,,,,,,
100,14067000100797000031718,29,06:47:20,06:47:20,,,,,,
100,14067000100797000071721,40,07:05:56,07:05:56,,,,,,
100,14067000100797000081723,41,07:07:38,07:07:38,,,,,,
100,14067000100797000081724,26,06:42:16,06:42:16,,,,,,
100,14067000100797000111722,27,06:43:57,06:43:57,,,,,,
100,14067000100797000121727,43,07:11:00,07:11:00,,,,,,
100,14067000100797000121728,24,06:38:53,06:38:53,,,,,,
100,14067000100797000131725,42,07:09:19,07:09:19,,,,,,
100,14067000100797000131726,25,06:40:35,06:40:35,,,,,,
100,14067000100797000151711,35,06:57:29,06:57:29,,,,,,
100,14067000100797000161628,34,06:55:47,06:55:47,,,,,,
100,14067000100797000161629,33,06:54:06,06:54:06,,,,,,
100,14067000100797000191719,39,07:04:15,07:04:15,,,,,,
100,14067000100797000191720,28,06:45:39,06:45:39,,,,,,
100,14067000100797000211716,30,06:49:02,06:49:02,,,,,,
100,14067000100797000221715,37,07:00:52,07:00:52,,,,,,
100,14067000102121000031714,31,06:50:43,06:50:43,,,,,,
100,14067000102128000021713,36,06:59:10,06:59:10,,,,,,
100,14067000109641000011729,44,07:12:42,07:12:42,,,,,,
100,14067000109641000011730,23,06:37:12,06:37:12,,,,,,
100,14067000800003000021765,62,07:43:08,07:43:08,,,,,,
100,14067000800003000021767,4,06:05:04,06:05:04,,,,,,
100,14067000800003000021768,63,07:44:49,07:44:49,,,,,,
100,14067000800004000011755,57,07:34:41,07:34:41,,,,,,
100,14067000800004000011756,10,06:15:13,06:15:13,,,,,,
100,14067000800004000011757,58,07:36:22,07:36:22,,,,,,
100,14067000800004000011758,9,06:13:32,06:13:32,,,,,,
100,14067000800004000011761,7,06:10:09,06:10:09,,,,,,
100,14067000800004000011762,60,07:39:45,07:39:45,,,,,,
100,14067000800004000011763,61,07:41:26,07:41:26,,,,,,
100,14067000800004000011764,6,06:08:27,06:08:27,,,,,,
100,14067000800012000011753,56,07:32:59,07:32:59,,,,,,
100,14067000800012000011754,11,06:16:54,06:16:54,,,,,,
100,14067000800012000011759,8,06:11:50,06:11:50,,,,,,
100,14067000800012000011760,59,07:38:03,07:38:03,,,,,,
100,14067000800016000011766,5,06:06:46,06:06:46,,,,,,
100,14067000900001000071771,65,07:48:12,07:48:12,,,,,,
100,14067000900001000071772,2,06:01:41,06:01:41,,,,,,
100,14067000900001000071774,1,06:00:00,06:00:00,,,,,,
100,14067000900002000011773,66,07:49:54,07:49:54,,,,,,
100,14067000900005000011769,64,07:46:31,07:46:31,,,,,,
100,14067000900005000011770,3,06:03:23,06:03:23,,,,,,
100,14067008600004000011739,49,07:21:09,07:21:09,,,,,,
100,14067008600004000011740,18,06:28:44,06:28:44,,,,,,
100,14067008600004000011741,50,07:22:51,07:22:51,,,,,,
100,14067008600004000011742,17,06:27:03,06:27:03,,,,,,
100,14067008600004000011743,51,07:24:32,07:24:32,,,,,,
100,14067008600004000011744,16,06:25:22,06:25:22,,,,,,
