trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
A03_1,MM_A03_1,0,04:49:00,04:49:00,,,,,,
A03_1,MM_A03_10,9,04:57:18,04:57:18,,,,,,
A03_1,MM_A03_11,10,04:58:05,04:58:05,,,,,,
A03_1,MM_A03_12,11,04:58:51,04:58:51,,,,,,
A03_1,MM_A03_13,12,04:59:42,04:59:42,,,,,,
A03_1,MM_A03_14,13,05:00:32,05:00:32,,,,,,
A03_1,MM_A03_15,14,05:01:26,05:01:26,,,,,,
A03_1,MM_A03_16,15,05:02:19,05:02:19,,,,,,
A03_1,MM_A03_17,16,05:03:09,05:03:09,,,,,,
A03_1,MM_A03_2,1,04:50:14,04:50:14,,,,,,
A03_1,MM_A03_3,2,04:51:14,04:51:14,,,,,,
A03_1,MM_A03_4,3,04:52:03,04:52:03,,,,,,
A03_1,MM_A03_5,4,04:53:09,04:53:09,,,,,,
A03_1,MM_A03_6,5,04:54:06,04:54:06,,,,,,
A03_1,MM_A03_7,6,04:54:53,04:54:53,,,,,,
A03_1,MM_A03_8,7,04:55:42,04:55:42,,,,,,
A03_1,MM_A03_9,8,04:56:31,04:56:31,,,,,,
A03_2,MM_A03_1,34,05:16:42,05:16:42,,,,,,
A03_2,MM_A03_17,17,05:01:00,05:01:00,,,,,,
A03_2,MM_A03_19,18,05:02:35,05:02:35,,,,,,
A03_2,MM_A03_20,19,05:03:28,05:03:28,,,,,,
A03_2,MM_A03_22,21,05:05:12,05:05:12,,,,,,
A03_2,MM_A03_23,22,05:06:03,05:06:03,,,,,,
A03_2,MM_A03_24,23,05:06:50,05:06:50,,,,,,
A03_2,MM_A03_25,24,05:07:37,05:07:37,,,,,,
A03_2,MM_A03_27,26,05:09:14,05:09:14,,,,,,
A03_2,MM_A03_28,27,05:10:03,05:10:03,,,,,,
A03_2,MM_A03_29,28,05:10:50,05:10:50,,,,,,
A03_2,MM_A03_30,29,05:11:47,05:11:47,,,,,,
