stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
MM_001,Fray Angélico,20.608238,-103.342834,,,,,,,,,,
MM_002,Esculturas,20.611824,-103.342766,,,,,,,,,,
MM_003,Artes Plásticas,20.616291,-103.343400,,,,,,,,,,
MM_004,Clemente Orozco,20.622398,-103.346690,,,,,,,,,,
MM_005,López De Legazpi,20.627312,-103.348380,,,,,,,,,,
MM_006,Zona Industrial,20.632685,-103.350510,,,,,,,,,,
MM_007,El Dean,20.637522,-103.351425,,,,,,,,,,
MM_008,Lázaro Cárdenas,20.640839,-103.351920,,,,,,,,,,
MM_009,Héroes De Nacozari,20.646578,-103.352750,,,,,,,,,,
MM_010,Ciprés,20.653196,-103.353280,,,,,,,,,,
MM_011,Agua Azul,20.657825,-103.350990,,,,,,,,,,
MM_012,Niños Héroes,20.663885,-103.347970,,,,,,,,,,
MM_013,La Paz,20.666325,-103.346650,,,,,,,,,,
MM_014,Bicentenario,20.668974,-103.345220,,,,,,,,,,
MM_015,San Juan De Dios,20.675953,-103.341415,,,,,,,,,,
MM_016,Alameda,20.680222,-103.339134,,,,,,,,,,
MM_017,Juan Álvarez,20.685347,-103.336340,,,,,,,,,,
MM_018,Ciencias De La Salud,20.689526,-103.334076,,,,,,,,,,
MM_019,Circunvalación,20.696148,-103.330500,,,,,,,,,,
MM_020,Monte Olivete,20.699423,-103.328720,,,,,,,,,,
MM_021,Monumental,20.703999,-103.326220,,,,,,,,,,
MM_022,Igualdad,20.711235,-103.322334,,,,,,,,,,
MM_023,San Patricio,20.715466,-103.320045,,,,,,,,,,
MM_024,Independencia Norte,20.719858,-103.317670,,,,,,,,,,
MM_025,Zoológico,20.726303,-103.315410,,,,,,,,,,
MM_026,Huentitán,20.732027,-103.313705,,,,,,,,,,
MM_027,Mirador,20.737494,-103.312090,,,,,,,,,,
MM_028,Mirador,20.732592,-103.313545,,,,,,,,,,
MM_029,Huentitán,20.732592,-103.313545,,,,,,,,,,
MM_030,Zoológico,20.727010,-103.315200,,,,,,,,,,
MM_031,Independencia Norte,20.720383,-103.317400,,,,,,,,,,
MM_032,San Patricio,20.715994,-103.319780,,,,,,,,,,
MM_033,Igualdad,20.711777,-103.322050,,,,,,,,,,
MM_034,Monumental,20.704016,-103.326260,,,,,,,,,,
MM_035,Monte Olivete,20.699957,-103.328445,,,,,,,,,,
MM_036,Circunvalación,20.696705,-103.330210,,,,,,,,,,
MM_037,Ciencias De La Salud,20.690172,-103.333740,,,,,,,,,,
MM_038,Juan Álvarez,20.684547,-103.336784,,,,,,,,,,
MM_039,Alameda,20.680227,-103.339170,,,,,,,,,,
MM_040,San Juan De Dios,20.676960,-103.340904,,,,,,,,,,
MM_041,Bicentenario,20.670109,-103.344604,,,,,,,,,,
MM_042,La Paz,20.666927,-103.346340,,,,,,,,,,
MM_043,Niños Héroes,20.663073,-103.348430,,,,,,,,,,
MM_044,Agua Azul,20.658386,-103.350760,,,,,,,,,,
MM_045,Ciprés,20.652414,-103.353546,,,,,,,,,,
MM_046,Héroes De Nacozari,20.646578,-103.352810,,,,,,,,,,
MM_047,Lázaro Cárdenas,20.641453,-103.352000,,,,,,,,,,
MM_048,El Dean,20.638132,-103.351530,,,,,,,,,,
MM_049,Zona Industrial,20.633250,-103.350720,,,,,,,,,,
MM_050,López De Legazpi,20.627855,-103.348580,,,,,,,,,,
MM_051,Clemente Orozco,20.621378,-103.346350,,,,,,,,,,
MM_052,Artes Plásticas,20.616772,-103.343750,,,,,,,,,,
MM_053,Esculturas,20.611805,-103.342820,,,,,,,,,,
MM_054,Fray Angélico,20.608270,-103.342880,,,,,,,,,,
MM_1103255994,Circuito Santa Fe,20.748390,-103.425730,,,,,,,,,,
MM_5101,Av. Federalistas,20.750330,-103.427990,,,,,,,,,,
MM_A03_1,Terminal de la Ruta 110,20.716630,-103.319980,,,,,,,,,,
MM_A03_10,Juan Sánchez Azcona,20.722570,-103.336230,,,,,,,,,,
MM_A03_11,J. José Justo Álvarez,20.722720,-103.337610,,,,,,,,,,
MM_A03_12,J. José Justo Álvarez,20.722680,-103.338890,,,,,,,,,,
MM_A03_13,Avenida Experiencia,20.721330,-103.339680,,,,,,,,,,
MM_A03_14,Calle Barreiro,20.719930,-103.340250,,,,,,,,,,
MM_A03_15,Avenida Experiencia,20.718210,-103.340690,,,,,,,,,,
