agency_id,route_id,route_type,route_short_name,route_long_name,route_desc,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
MT,A03,3,A03,Ruta Alimentadora Mi Macro Periferico A03,,,7FFF00,191919,,,
MT,A05,3,A05,Ruta Alimentadora Mi Macro Periferico A05,,,7FFF00,191919,,,
MT,A06,3,A06,Ruta Alimentadora Mi Macro Periferico A06,,,7FFF00,191919,,,
MT,A07,3,A07,Ruta Alimentadora Mi Macro Periferico A07,,,7FFF00,191919,,,
MT,A08,3,A08,Ruta Alimentadora Mi Macro Periferico A08,,,7FFF00,191919,,,
MT,A09,3,A09,Ruta Alimentadora Mi Macro Periferico A09,,,7FFF00,191919,,,
MT,A10,3,A10,Ruta Alimentadora Mi Macro Periferico A10,,,7FFF00,191919,,,
MT,A13,3,A13,Ruta Alimentadora Mi Macro Periferico A13,,,7FFF00,191919,,,
MT,A15,3,A15,Ruta Alimentadora Mi Macro Periferico A15,,,7FFF00,191919,,,
MT,A16,3,A16,Ruta Alimentadora Mi Macro Periferico A16,,,7FFF00,191919,,,
MT,A17,3,A17,Ruta Alimentadora Mi Macro Periferico A17,,,7FFF00,191919,,,
MT,A18,3,A18,Ruta Alimentadora Mi Macro Periferico A18,,,7FFF00,191919,,,
MT,A19,3,A19,Ruta Alimentadora Mi Macro Periferico A19,,,7FFF00,191919,,,
MT,A20,3,A20,Ruta Alimentadora Mi Macro Periferico A20,,,7FFF00,191919,,,
MT,A21,3,A21,Ruta Alimentadora Mi Macro Periferico A21,,,7FFF00,191919,,,
MT,C01,3,C01,"Ruta Troncal C01 - 39A ""Poniente""",,,4C8D2B,FFFFFF,,,
MT,C02,3,C02,Ruta Troncal C02 - 45A,,,4C8D2B,FFFFFF,,,
MT,C03,3,C03,"Ruta Troncal C03 - 61 ""Mercado de Abastos""",,,4C8D2B,FFFFFF,,,
MT,C04,3,C04,Ruta Troncal C04 - 110,,,4C8D2B,FFFFFF,,,
MT,C05,3,C05,Ruta Troncal C05 - 136,,,4C8D2B,FFFFFF,,,
MT,C06,3,C06,Ruta Troncal C06 - 136A,,,4C8D2B,FFFFFF,,,
MT,C07-V1,3,C07-V1,Ruta Troncal C07-V1 - 153CTM,,,4C8D2B,FFFFFF,,,
MT,C07-V2,3,C07-V2,Ruta Troncal C07-V2 - 153A,,,4C8D2B,FFFFFF,,,
MT,C08,3,C08,Ruta Troncal C08 - 156,,,4C8D2B,FFFFFF,,,
MT,C09,3,C09,Ruta Troncal C09 - 175D,,,4C8D2B,FFFFFF,,,
MT,C10,3,C10,Ruta Troncal C10 - 175E,,,4C8D2B,FFFFFF,,,
MT,C100,3,C100,"Ruta Troncal C100 - 181 ""La Fortuna""",,,4C8D2B,FFFFFF,,,
MT,C101,3,C101,"Ruta Troncal C101 - 186A ""San Sebastian - Calera""",,,4C8D2B,FFFFFF,,,
MT,C102,3,C102,Ruta Troncal C102 - 187,,,4C8D2B,FFFFFF,,,
MT,C103,3,C103,Ruta Troncal C103 - 188,,,4C8D2B,FFFFFF,,,
MT,C104,3,C104,"Ruta Troncal C104 - 629 ""Plaza del Sol""",,,4C8D2B,FFFFFF,,,
MT,C105,3,C105,Ruta Troncal C105 - 808,,,4C8D2B,FFFFFF,,,
MT,C106,3,C106,Ruta Troncal C106 - 809,,,4C8D2B,FFFFFF,,,
MT,C107,3,C107,Ruta Troncal C107 - 110A,,,4C8D2B,FFFFFF,,,
MT,C108,3,C108,Ruta Troncal C108 - 371,,,4C8D2B,FFFFFF,,,
MT,C109,3,C109,"Ruta Troncal C109 - 629A ""CG""",,,4C8D2B,FFFFFF,,,
MT,C11,3,C11,Ruta Troncal C11 - 174,,,4C8D2B,FFFFFF,,,
MT,C110-V1,3,C110-V1,"Ruta Troncal C110-V1 - 629B ""Nuevo Mexico - Chori""",,,4C8D2B,FFFFFF,,,
MT,C110-V2,3,C110-V2,"Ruta Troncal C110-V2 - 629B ""Primavera - La Venta""",,,4C8D2B,FFFFFF,,,
MT,C110-V3,3,C110-V3,"Ruta Troncal C110-V3 - 629B ""L3 Tren Ligero""",,,4C8D2B,FFFFFF,,,
MT,C111-V1,3,C111-V1,"Ruta Troncal C111-V1 - 176A ""Robles""",,,4C8D2B,FFFFFF,,,
MT,C111-V2,3,C111-V2,"Ruta Troncal C111-V2 - 176A ""Lomas del Sur""",,,4C8D2B,FFFFFF,,,
MT,C111-V3,3,C111-V3,"Ruta Troncal C111-V3 - 176A ""Chulavista""",,,4C8D2B,FFFFFF,,,
MT,C112,3,C112,Ruta Troncal C112 - 176D,,,4C8D2B,FFFFFF,,,
MT,C113-V1,3,C113-V1,"Ruta Troncal C113-V1 - 623A ""Chulavista - Valle Dorado""",,,4C8D2B,FFFFFF,,,
MT,C113-V2,3,C113-V2,"Ruta Troncal C113-V2 - 623A ""Aqua""",,,4C8D2B,FFFFFF,,,
MT,C114-V1,3,C114-V1,"Ruta Troncal C114-V1 - 181 ""8 de Julio""",,,4C8D2B,FFFFFF,,,
MT,C114-V2,3,C114-V2,"Ruta Troncal C114-V2 - 181 ""Clinica 180""",,,4C8D2B,FFFFFF,,,
MT,C115,3,C115,"Ruta Troncal C115 - 623 ""Santa Cruz del Valle""",,,4C8D2B,FFFFFF,,,
