stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
mxa_T06_03_STP_09,Calle Pablo Valdez,20.674480,-103.277340,,,,,,,,,,
mxa_T06_03_STP_16,Calle Esteban Alatorre,20.672530,-103.294380,,,,,,,,,,
mxa_T06_03_STP_18,Guelatao,20.674210,-103.301510,,,,,,,,,,
mxa_T06_03_STP_19,Pánfilo Pérez,20.675170,-103.304510,,,,,,,,,,
mxa_T06_03_STP_20,Francisco Gonzalez Bocanegra,20.675980,-103.307220,,,,,,,,,,
mxa_T06_03_STP_21,Ignacio Machain,20.676790,-103.309950,,,,,,,,,,
mxa_T06_03_STP_25,Pedro Celestino Negrete,20.679590,-103.319180,,,,,,,,,,
mxa_T06_03_STP_26,Porfiro Díaz,20.680110,-103.320890,,,,,,,,,,
mxa_T06_03_STP_27,Ramón Morales,20.680800,-103.323090,,,,,,,,,,
mxa_T06_03_STP_28,Aquiles Serdán,20.680790,-103.325940,,,,,,,,,,
mxa_T06_03_STP_36,Jesús Gonzalez Ortega,20.681840,-103.350710,,,,,,,,,,
mxa_T06_03_STP_37,Calle Pedro Loza,20.681840,-103.348610,,,,,,,,,,
mxa_T06_03_STP_38,Liceo,20.681860,-103.346930,,,,,,,,,,
mxa_T06_03_STP_39,Belén,20.681880,-103.345460,,,,,,,,,,
mxa_T06_03_STP_41,Calle Pablo Valdez,20.682030,-103.336830,,,,,,,,,,
mxa_T06_03_STP_42,Manuel Doblado,20.681980,-103.331580,,,,,,,,,,
mxa_T06_03_STP_44,Av. Belisario Domínguez,20.681710,-103.327660,,,,,,,,,,
mxa_T06_03_STP_47,Pedro Celestino Negrete,20.680630,-103.319330,,,,,,,,,,
mxa_T06_03_STP_49,Rita Pérez de Moreno,20.679210,-103.314650,,,,,,,,,,
mxa_T06_03_STP_50,Basilio Badillo,20.678690,-103.312910,,,,,,,,,,
mxa_T06_03_STP_52,Francisco Gonzalez Bocanegra,20.677030,-103.307340,,,,,,,,,,
mxa_T06_03_STP_55,Felipe Ángles,20.675460,-103.302120,,,,,,,,,,
mxa_T06_03_STP_58,Av. Plutarco Elías Calles,20.673910,-103.296030,,,,,,,,,,
mxa_T06_03_STP_63,Demóstenes,20.673780,-103.287970,,,,,,,,,,
mxa_T06_03_STP_69,Dinar,20.675100,-103.274260,,,,,,,,,,
mxa_T07C01_STP_01,Eucalipto,20.763260,-103.363420,,,,,,,,,,
mxa_T07C01_STP_02,Eucalipto,20.763790,-103.365610,,,,,,,,,,
mxa_T07C01_STP_03,Crisantemos,20.761310,-103.366760,,,,,,,,,,
mxa_T07C01_STP_04,Calle Calzada del Vergel,20.759120,-103.367290,,,,,,,,,,
mxa_T07C01_STP_06,Calle Calzada del Vergel,20.757120,-103.367700,,,,,,,,,,
mxa_T07C01_STP_07,Cabañas,20.756700,-103.366730,,,,,,,,,,
mxa_T07C01_STP_08,Sembradores,20.755350,-103.364340,,,,,,,,,,
mxa_T07C01_STP_09,Sembradores,20.755240,-103.363890,,,,,,,,,,
mxa_T07C01_STP_10,Sembradores,20.753700,-103.363820,,,,,,,,,,
mxa_T07C01_STP_102,Avenida Enrique Díaz de León Sur,20.661620,-103.360750,,,,,,,,,,
mxa_T07C01_STP_11,Tabachines,20.753280,-103.363130,,,,,,,,,,
mxa_T07C01_STP_110,Avenida Enrique Díaz de León Norte,20.679890,-103.359210,,,,,,,,,,
mxa_T07C01_STP_111,Avenida Enrique Díaz de León Norte,20.683730,-103.359090,,,,,,,,,,
mxa_T07C01_STP_112,Avenida Enrique Díaz de León Norte,20.686660,-103.359010,,,,,,,,,,
