route_id,service_id,shape_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed
A03,LD,A03_r1,A03_TRIP_1,Estacion San Patricio,,0,,,
A03,LD,A03_r2,A03_TRIP_2,Santa Elena de la Cruz,,1,,,
A05,LD,A05_r1,A05_TRIP_1,Estacion Independencia Norte,,0,,,
A05,LD,A05_r2,A05_TRIP_2,Dr. Alt,,1,,,
A06,LD,A06_r1,A06_ROUTE_1_1111111_75540,Estacion Fray Angelico,,0,,,
A06,LD,A06_r2,A06_TRIP_2,El Vergel,,1,,,
A07,LD,A07_r1,A07_ROUTE_1_1111111_82920,Estacion Fray Angelico,,0,,,
A07,LD,A07_r2,A07_ROUTE_2_1111111_84060,Cerro del Cuatro,,1,,,
A07,LD,A07_r2,A07_TRIP_2,Cerro del Cuatro,,1,,,
A08,LD,A08_r1,A08_TRIP_1,Estacion Fray Angelico,,0,,,
A08,LD,A08_r2,A08_TRIP_2,Valle de la Misericordia,,1,,,
A09,LD,A09_r1,A09_TRIP_1,Estacion Fray Angelico,,0,,,
A09,LD,A09_r2,A09_TRIP_2,Del Carmen,,1,,,
A10,LD,A10_r1,A10_TRIP_1,Estacion Fray Angelico,,0,,,
A10,LD,A10_r2,A10_TRIP_2,Periferico Sur,,1,,,
A13,LD,A13_r2,A13_ROUTE_2_1111111_84540,1ero de Mayo,,1,,,
A13,LD,A13_r1,A13_TRIP_1,Estacion Clemente Orozco,,0,,,
A13,LD,A13_r2,A13_TRIP_2,1ero de Mayo,,1,,,
A15,LD,A15_r2,A15_ROUTE_2_1111111_84540,Artesanos,,1,,,
A15,LD,A15_r1,A15_TRIP_1,Estacion Fray Angelico,,0,,,
A16,LD,A16_r1,A16_ROUTE_1_1111111_84480,Estacion Independencia Norte,,0,,,
A16,LD,A16_r2,A16_TRIP_2,Panoramica de Huentitan,,1,,,
A17,D,A17_r1,A17_ROUTE_1_0000001_83220,Estacion Fray Angelico,,0,,,
A17,LS,A17_r1,A17_ROUTE_1_1111110_79740,Estacion Fray Angelico,,0,,,
A17,LS,A17_r1,A17_ROUTE_1_1111110_79740_2,Estacion Fray Angelico,,0,,,
A17,D,A17_r2,A17_ROUTE_2_0000001_85620,Cerro del Cuatro,,1,,,
A17,LS,A17_r2,A17_ROUTE_2_1111110_85560,Cerro del Cuatro,,1,,,
A17,LS,A17_r2,A17_ROUTE_2_1111110_85560_2,Cerro del Cuatro,,1,,,
A18,D,A18_r1,A18_ROUTE_1_0000001_15960,Estacion Fray Angelico,,0,,,
A18,D,A18_r2,A18_ROUTE_2_0000001_18000,Paseos del Prado,,1,,,
A18,LS,A18_r2,A18_ROUTE_2_1111110_76800,Paseos del Prado,,1,,,
A18,LS,A18_r1,A18_TRIP_1,Estacion Fray Angelico,,0,,,
A19,D,A19_r1,A19_ROUTE_1_0000001_75360,Estacion Fray Angelico,,0,,,
A19,D,A19_r2,A19_ROUTE_2_0000001_82200,Chulavista,,1,,,
A19,LS,A19_r1,A19_TRIP_1,Estacion Fray Angelico,,0,,,
A19,LS,A19_r2,A19_TRIP_2,Chulavista,,1,,,
A20,D,A20_r1,A20_ROUTE_1_0000001_14760,Estacion Fray Angelico,,0,,,
A20,D,A20_r2,A20_ROUTE_2_0000001_17760,Hacienda Santa Fe,,1,,,
A20,LS,A20_r1,A20_TRIP_1,Estacion Fray Angelico,,0,,,
A20,LS,A20_r2,A20_TRIP_2,Hacienda Santa Fe,,1,,,
A21,D,A21_r1,A21_ROUTE_1_0000001_15660,Estacion Fray Angelico,,0,,,
A21,D,A21_r2,A21_ROUTE_2_0000001_18000,Chulavista,,1,,,
A21,LS,A21_r1,A21_TRIP_1,Estacion Fray Angelico,,0,,,
A21,LS,A21_r2,A21_TRIP_2,Chulavista,,1,,,
C01,D,C01_r1,C01_route_1_0000001_16500,Centro Metropolitano,,0,,,
C01,D,C01_r2,C01_route_2_0000001_21120,San Juan de Ocotan,,1,,,
C01,LS,C01_r1,C01_trip_1,Centro Metropolitano,,0,,,
C01,LS,C01_r2,C01_trip_2,San Juan de Ocotan,,1,,,
C02,D,C02_r1,C02_route_1_0000001_15600,Centro Metropolitano,,0,,,
C02,D,C02_r2,C02_route_2_0000001_20280,Mision de los Viñedos,,1,,,
C02,LS,C02_r1,C02_trip_1,Centro Metropolitano,,0,,,
C02,LS,C02_r2,C02_trip_2,Mision de los Viñedos,,1,,,
C03,D,C03_r1,C03_route_1_0000001_15600,El Fresno,,0,,,
C03,LS,C03_r1,C03_route_1_1111110_18000,El Fresno,,0,,,
C03,D,C03_r2,C03_route_2_0000001_23100,Santa Cruz del Valle,,1,,,
C03,LS,C03_r2,C03_route_2_1111110_22140,Santa Cruz del Valle,,1,,,
C04,D,C04_r1,C04_route_1_0000001_16200,Centro Metropolitano,,0,,,
C04,D,C04_r2,C04_route_2_0000001_19440,Huentitan El Bajo,,1,,,
C04,LS,C04_r1,C04_trip_1,Centro Metropolitano,,0,,,
C04,LS,C04_r2,C04_trip_2,Huentitan El Bajo,,1,,,
C05,D,C05_r1,C05_route_1_0000001_17400,Centro Metropolitano,,0,,,
C05,D,C05_r2,C05_route_2_0000001_20640,San Pedrito,,1,,,
C05,LS,C05_r1,C05_trip_1,Centro Metropolitano,,0,,,
C05,LS,C05_r2,C05_trip_2,San Pedrito,,1,,,
C06,D,C06_r1,C06_route_1_0000001_17400,Centro Metropolitano,,0,,,
C06,D,C06_r2,C06_route_2_0000001_22440,La Cofradia,,1,,,
C06,LS,C06_r2,C06_route_2_1111110_81180,La Cofradia,,1,,,
C06,LS,C06_r2,C06_route_2_1111110_81180_2,La Cofradia,,1,,,
C06,LS,C06_r1,C06_trip_1,Centro Metropolitano,,0,,,
C06,LS,C06_r1,C06_trip_1_2,Centro Metropolitano,,0,,,
C07-V1,D,C07-V1_r1,C07-V1_route_1_0000001_17100,Centro Metropolitano,,0,,,
C07-V1,D,C07-V1_r2,C07-V1_route_2_0000001_21780,Mirador del Rey,,1,,,
C07-V1,LS,C07-V1_r1,C07-V1_trip_1,Centro Metropolitano,,0,,,
C07-V1,LS,C07-V1_r2,C07-V1_trip_2,Mirador del Rey,,1,,,
C07-V2,D,C07-V2_r1,C07-V2_route_1_0000001_16800,Centro Metropolitano,,0,,,
C07-V2,D,C07-V2_r2,C07-V2_route_2_0000001_21720,Mision Acueducto,,1,,,
C07-V2,LS,C07-V2_r1,C07-V2_trip_1,Centro Metropolitano,,0,,,
C07-V2,LS,C07-V2_r2,C07-V2_trip_2,Mision Acueducto,,1,,,
C08,SD,C08_r1,C08_route_1_0000011_23040,Centro Metropolitano,,0,,,
C08,SD,C08_r2,C08_route_2_0000011_19800,Huentitan,,1,,,
C08,LV,C08_r1,C08_trip_1,Centro Metropolitano,,0,,,
C08,LV,C08_r2,C08_trip_2,Huentitan,,1,,,
C09,D,C09_r1,C09_route_1_0000001_16200,Plaza Centro Sur,,0,,,
C09,D,C09_r2,C09_route_2_0000001_19560,Abedules,,1,,,
C09,LS,C09_r1,C09_trip_1,Plaza Centro Sur,,0,,,
C09,LS,C09_r2,C09_trip_2,Abedules,,1,,,
C100,D,C100_r1,C100_route_1_0000001_18600,Plaza Centro Sur,,0,,,
C100,D,C100_r2,C100_route_2_0000001_23340,La Fortuna,,1,,,
C100,LS,C100_r1,C100_trip_1,Plaza Centro Sur,,0,,,
C100,LS,C100_r2,C100_trip_2,La Fortuna,,1,,,
C101,D,C101_r1,C101_route_1_0000001_16500,Estacion Periferico Sur Linea 1 Tren Electrico Urbano,,0,,,
C101,D,C101_r2,C101_route_2_0000001_16200,Cabecera Municipal de Tlajomulco de Zuñiga,,1,,,
C101,LS,C101_r1,C101_trip_1,Estacion Periferico Sur Linea 1 Tren Electrico Urbano,,0,,,
C101,LS,C101_r2,C101_trip_2,Cabecera Municipal de Tlajomulco de Zuñiga,,1,,,
C102,D,C102_r1,C102_route_1_0000001_16380,Barrio Nuevo,,0,,,
C102,D,C102_r2,C102_route_2_0000001_16200,Cabecera Municipal de Tlajomulco de Zuñiga,,1,,,
C102,LS,C102_r1,C102_trip_1,Barrio Nuevo,,0,,,
C102,LS,C102_r2,C102_trip_2,Cabecera Municipal de Tlajomulco de Zuñiga,,1,,,
C103,D,C103_r1,C103_route_1_0000001_15960,Plaza Centro Sur,,0,,,
C103,D,C103_r2,C103_route_2_0000001_16200,Cabecera Municipal de Tlajomulco de Zuñiga,,1,,,
C103,LS,C103_r1,C103_trip_1,Plaza Centro Sur,,0,,,
C103,LS,C103_r2,C103_trip_2,Cabecera Municipal de Tlajomulco de Zuñiga,,1,,,
C104,D,C104_r1,C104_route_1_0000001_20220,Centro Metropolitano,,0,,,
C104,D,C104_r2,C104_route_2_0000001_20160,Residencial Plaza Guadalupe,,1,,,
C104,LS,C104_r1,C104_trip_1,Centro Metropolitano,,0,,,
C104,LS,C104_r2,C104_trip_2,Residencial Plaza Guadalupe,,1,,,
C105,D,C105_r1,C105_route_1_0000001_18120,Central de Autobuses,,0,,,
C105,D,C105_r2,C105_route_2_0000001_18000,Senderos de Santiago,,1,,,
C105,LS,C105_r1,C105_trip_1,Central de Autobuses,,0,,,
C105,LS,C105_r2,C105_trip_2,Senderos de Santiago,,1,,,
C106,D,C106_r1,C106_route_1_0000001_18660,Central de Autobuses,,0,,,
C106,D,C106_r2,C106_route_2_0000001_18000,Vistas del Pedregal,,1,,,
C106,LS,C106_r1,C106_trip_1,Central de Autobuses,,0,,,
C106,LS,C106_r2,C106_trip_2,Vistas del Pedregal,,1,,,
C107,D,C107_r1,C107_route_1_0000001_18000,Los Pinos,,0,,,
C107,D,C107_r2,C107_route_2_0000001_22860,Panoramica de Huentitan,,1,,,
C107,LS,C107_r1,C107_trip_1,Los Pinos,,0,,,
C107,LS,C107_r2,C107_trip_2,Panoramica de Huentitan,,1,,,
C108,LD,C108_r1,C108_trip_1,Plaza del Sol,,0,,,
C108,LD,C108_r2,C108_trip_2,San Joaquin,,1,,,
C109,D,C109_r1,C109_route_1_0000001_21540,Centro Metropolitano,,0,,,
C109,D,C109_r2,C109_route_2_0000001_21180,La Gloria del Colli,,1,,,
C109,LS,C109_r1,C109_trip_1,Centro Metropolitano,,0,,,
C109,LS,C109_r2,C109_trip_2,La Gloria del Colli,,1,,,
C10,D,C10_r1,C10_route_1_0000001_16800,Plaza Centro Sur,,0,,,
C10,D,C10_r2,C10_route_2_0000001_19800,Villas de San Sebastian,,1,,,
C10,LS,C10_r1,C10_trip_1,Plaza Centro Sur,,0,,,
C10,LS,C10_r2,C10_trip_2,Villas de San Sebastian,,1,,,
C110-V1,D,C110-V1_r1,C110-V1_route_1_0000001_18480,Estacion Juarez Tren Electrico Urbano,,0,,,
C110-V1,D,C110-V1_r2,C110-V1_route_2_0000001_18600,Jardines de Nuevo Mexico,,1,,,
C110-V1,LS,C110-V1_r1,C110-V1_trip_1,Estacion Juarez Tren Electrico Urbano,,0,,,
C110-V1,LS,C110-V1_r2,C110-V1_trip_2,Jardines de Nuevo Mexico,,1,,,
C110-V2,D,C110-V2_r1,C110-V2_route_1_0000001_19920,Centro Metropolitano,,0,,,
C110-V2,D,C110-V2_r2,C110-V2_route_2_0000001_19800,La Primavera,,1,,,
C110-V2,LS,C110-V2_r1,C110-V2_trip_1,Centro Metropolitano,,0,,,
C110-V2,LS,C110-V2_r2,C110-V2_trip_2,La Primavera,,1,,,
C110-V3,LD,C110-V3_r1,C110-V3_trip_1,Estacion Juarez Tren Electrico Urbano,,0,,,
C110-V3,LD,C110-V3_r2,C110-V3_trip_2,Arcos de Zapopan,,1,,,
C111-V1,D,C111-V1_r1,C111-V1_route_1_0000001_15900,Centro Metropolitano,,0,,,
C111-V1,D,C111-V1_r2,C111-V1_route_2_0000001_24300,Colinas del Roble,,1,,,
C111-V1,LS,C111-V1_r1,C111-V1_trip_1,Centro Metropolitano,,0,,,
